period,stateId,stateDescription,producertypeid,producerTypeDescription,energysourceid,energySourceDescription,capability,capability-units
2020,VA,Virginia,IPP,Independent Power Producers,PET,Petroleum,386.5,megawatts
2020,VA,Virginia,IPP,Independent Power Producers,PETGT,Petroleum - GT,348.1,megawatts
2020,VA,Virginia,IPP,Independent Power Producers,PETIC,Petroleum - IC,38.4,megawatts
2020,VA,Virginia,IPP,Independent Power Producers,SOL,Solar,718.7,megawatts
2020,VA,Virginia,IPP,Independent Power Producers,SOLPV,Solar - PV,718.7,megawatts
2020,VA,Virginia,IPP,Independent Power Producers,WOO,Wood,342.6,megawatts
2020,VA,Virginia,TOT,All sectors,ALL,All,27942.6,megawatts
2020,VA,Virginia,TOT,All sectors,COL,Coal,2878.7,megawatts
2020,VA,Virginia,TOT,All sectors,HPS,Pumped Storage,3241,megawatts
2020,VA,Virginia,TOT,All sectors,HYC,Hydroelectric,866,megawatts
2020,VA,Virginia,TOT,All sectors,NG,Natural Gas,14492.1,megawatts
2020,VA,Virginia,TOT,All sectors,NGCC,Natural Gas - CC,8877.1,megawatts
2020,VA,Virginia,TOT,All sectors,NGGT,Natural Gas - GT,4245.3,megawatts
2020,VA,Virginia,TOT,All sectors,NGIC,Natural Gas - IC,1.3,megawatts
2020,VA,Virginia,TOT,All sectors,NGST,Natural Gas - ST,1368.4,megawatts
2020,VA,Virginia,TOT,All sectors,NUC,Nuclear,3568,megawatts
2020,VA,Virginia,TOT,All sectors,OBM,Other Biomass,309.3,megawatts
2020,VA,Virginia,TOT,All sectors,OT,Other,96,megawatts
2020,VA,Virginia,TOT,All sectors,PET,Petroleum,760.9,megawatts
2020,VA,Virginia,TOT,All sectors,PETGT,Petroleum - GT,621.1,megawatts
2020,VA,Virginia,TOT,All sectors,PETIC,Petroleum - IC,139.8,megawatts
2020,VA,Virginia,TOT,All sectors,SOL,Solar,1235,megawatts
2020,VA,Virginia,TOT,All sectors,SOLPV,Solar - PV,1235,megawatts
2020,VA,Virginia,TOT,All sectors,WOO,Wood,495.6,megawatts
2019,VA,Virginia,EU,Electric Utilities,ALL,All,22504.8,megawatts
2019,VA,Virginia,EU,Electric Utilities,COL,Coal,2493,megawatts
2019,VA,Virginia,EU,Electric Utilities,HPS,Pumped Storage,3241,megawatts
2019,VA,Virginia,EU,Electric Utilities,HYC,Hydroelectric,832.1,megawatts
2019,VA,Virginia,EU,Electric Utilities,NG,Natural Gas,10041.6,megawatts
2019,VA,Virginia,EU,Electric Utilities,NGCC,Natural Gas - CC,6219.3,megawatts
2019,VA,Virginia,EU,Electric Utilities,NGGT,Natural Gas - GT,3362.3,megawatts
2019,VA,Virginia,EU,Electric Utilities,NGST,Natural Gas - ST,460,megawatts
2019,VA,Virginia,EU,Electric Utilities,NUC,Nuclear,3568,megawatts
2019,VA,Virginia,EU,Electric Utilities,OBM,Other Biomass,1,megawatts
2019,VA,Virginia,EU,Electric Utilities,PET,Petroleum,1951.6,megawatts
2019,VA,Virginia,EU,Electric Utilities,PETGT,Petroleum - GT,273,megawatts
2019,VA,Virginia,EU,Electric Utilities,PETIC,Petroleum - IC,102.6,megawatts
2019,VA,Virginia,EU,Electric Utilities,PETST,Petroleum - ST,1576,megawatts
2019,VA,Virginia,EU,Electric Utilities,SOL,Solar,223.5,megawatts
2019,VA,Virginia,EU,Electric Utilities,SOLPV,Solar - PV,223.5,megawatts
2019,VA,Virginia,EU,Electric Utilities,WOO,Wood,153,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,ALL,All,5539.9,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,COL,Coal,385.9,megawatts
